év;típus;keresztnév;vezetéknév
1946;kémiai;Wendell Meredith;Stanley
1946;orvosi;Hermann Joseph;Muller
1946;irodalmi;Hermann;Hesse
1946;béke;Emily Greene;Balch
1946;béke;John Raleigh;Mott
1945;fizikai;Wolfgang;Pauli
1945;kémiai;Artturi Ilmari;Virtanen
1945;orvosi;Sir Alexander;Fleming
1945;orvosi;Ernst Boris;Chain
1945;orvosi;Sir Howard Walter;Florey
1945;irodalmi;Gabriela;Mistral
1945;béke;Cordell;Hull
1944;fizikai;Isidor Isaac;Rabi
1944;kémiai;Otto;Hahn
1944;orvosi;Joseph;Erlanger
1944;orvosi;Herbert Spencer;Gasser
1944;irodalmi;Johannes Vilhelm;Jensen
1944;béke;Comité international de la Croix Rouge (International Committee of the Red Cross);
1943;fizikai;Otto;Stern
1943;kémiai;George;de Hevesy
1943;orvosi;Henrik Carl Peter;Dam
1943;orvosi;Edward Adelbert;Doisy
1939;fizikai;Ernest Orlando;Lawrence
1939;kémiai;Adolf Friedrich Johann;Butenandt
1939;kémiai;Leopold;Ruzicka
1939;orvosi;Gerhard;Domagk
1939;irodalmi;Frans Eemil;Sillanpää
1938;fizikai;Enrico;Fermi
1938;kémiai;Richard;Kuhn
1938;orvosi;Corneille Jean François;Heymans
1938;irodalmi;Pearl;Buck
1938;béke;Office international Nansen pour les Réfugiés (Nansen International Office for Refugees);
1937;fizikai;Clinton Joseph;Davisson
1937;fizikai;George Paget;Thomson
1937;kémiai;Walter Norman;Haworth
1937;kémiai;Paul;Karrer
1937;orvosi;Albert;von Szent-Györgyi Nagyrápolt
1937;irodalmi;Roger;Martin du Gard
1937;béke;Cecil of Chelwood, Viscount;(Lord Edgar Algernon Robert Gascoyne Cecil)
1936;fizikai;Victor Franz;Hess
1936;fizikai;Carl David;Anderson
1936;kémiai;Petrus (Peter) Josephus Wilhelmus;Debye
1936;orvosi;Sir Henry Hallett;Dale
1936;orvosi;Otto;Loewi
1936;irodalmi;Eugene Gladstone;O'Neill
1936;béke;Carlos;Saavedra Lamas
1935;fizikai;James;Chadwick
1935;kémiai;Frédéric;Joliot
1935;kémiai;Irène;Joliot-Curie
1935;orvosi;Hans;Spemann
1935;béke;Carl;von Ossietzky
1934;kémiai;Harold Clayton;Urey
1934;orvosi;George Hoyt;Whipple
1934;orvosi;George Richards;Minot
1934;orvosi;William Parry;Murphy
1934;irodalmi;Luigi;Pirandello
1934;béke;Arthur;Henderson
1933;fizikai;Erwin;Schrödinger
1933;fizikai;Paul Adrien Maurice;Dirac
1933;orvosi;Thomas Hunt;Morgan
1933;irodalmi;Ivan Alekseyevich;Bunin
1933;béke;Sir Norman;Angell (Ralph Lane)
1932;fizikai;Werner Karl;Heisenberg
1932;kémiai;Irving;Langmuir
1932;orvosi;Sir Charles Scott;Sherrington
1932;orvosi;Edgar Douglas;Adrian
1932;irodalmi;John;Galsworthy
1931;kémiai;Carl;Bosch
1931;kémiai;Friedrich;Bergius
1931;orvosi;Otto Heinrich;Warburg
1931;irodalmi;Erik Axel;Karlfeldt
1931;béke;Jane;Addams
1931;béke;Nicholas Murray;Butler
1930;fizikai;Sir Chandrasekhara Venkata;Raman
1930;kémiai;Hans;Fischer
1930;orvosi;Karl;Landsteiner
1930;irodalmi;Sinclair;Lewis
1930;béke;Lars Olof Jonathan (Nathan);Söderblom
1929;fizikai;Prince Louis-Victor Pierre Raymond;de Broglie
1929;kémiai;Arthur;Harden
1929;kémiai;Hans Karl August Simon;von Euler-Chelpin
1929;orvosi;Christiaan;Eijkman
1929;orvosi;Sir Frederick Gowland;Hopkins
1929;irodalmi;Thomas;Mann
1929;béke;Frank Billings;Kellogg
1928;fizikai;Owen Willans;Richardson
1928;kémiai;Adolf Otto Reinhold;Windaus
1928;orvosi;Charles Jules Henri;Nicolle
1928;irodalmi;Sigrid;Undset
1927;fizikai;Arthur Holly;Compton
1927;fizikai;Charles Thomson Rees;Wilson
1927;kémiai;Heinrich Otto;Wieland
1927;orvosi;Julius;Wagner-Jauregg
1927;irodalmi;Henri;Bergson
1927;béke;Ferdinand;Buisson
1927;béke;Ludwig;Quidde
1926;fizikai;Jean Baptiste;Perrin
1926;kémiai;The (Theodor);Svedberg
1926;orvosi;Johannes Andreas Grib;Fibiger
1926;irodalmi;Grazia;Deledda
1926;béke;Aristide;Briand
1926;béke;Gustav;Stresemann
1925;fizikai;James;Franck
1925;fizikai;Gustav Ludwig;Hertz
1925;kémiai;Richard Adolf;Zsigmondy
1925;irodalmi;George Bernard;Shaw
1925;béke;Sir Austen;Chamberlain
1925;béke;Charles Gates;Dawes
1924;fizikai;Karl Manne Georg;Siegbahn
1924;orvosi;Willem;Einthoven
1924;irodalmi;Wladyslaw Stanislaw;Reymont
1923;fizikai;Robert Andrews;Millikan
1923;kémiai;Fritz;Pregl
1923;orvosi;Frederick Grant;Banting
1923;orvosi;John James Rickard;Macleod
1923;irodalmi;William Butler;Yeats
1922;fizikai;Niels Henrik David;Bohr
1922;kémiai;Francis William;Aston
1922;orvosi;Archibald Vivian;Hill
1922;orvosi;Otto Fritz;Meyerhof
1922;irodalmi;Jacinto;Benavente
1922;béke;Fridtjof;Nansen
1921;fizikai;Albert;Einstein
1921;kémiai;Frederick;Soddy
1921;irodalmi;Anatole;France
1921;béke;Karl Hjalmar;Branting
1921;béke;Christian Lous;Lange
1920;fizikai;Charles Edouard;Guillaume
1920;kémiai;Walther Hermann;Nernst
1920;orvosi;Schack August Steenberg;Krogh
1920;irodalmi;Knut Pedersen;Hamsun
1920;béke;Léon Victor Auguste;Bourgeois
1919;fizikai;Johannes;Stark
1919;orvosi;Jules;Bordet
1919;irodalmi;Carl Friedrich Georg;Spitteler
1919;béke;Thomas Woodrow;Wilson
1918;fizikai;Max Karl Ernst Ludwig;Planck
1918;kémiai;Fritz;Haber
1917;fizikai;Charles Glover;Barkla
1917;irodalmi;Karl Adolph;Gjellerup
1917;irodalmi;Henrik;Pontoppidan
1917;béke;Comité international de la Croix Rouge (International Committee of the Red Cross);
1916;irodalmi;Carl Gustaf Verner;von Heidenstam
1915;fizikai;Sir William Henry;Bragg
1915;fizikai;William Lawrence;Bragg
1915;kémiai;Richard Martin;Willstätter
1915;irodalmi;Romain;Rolland
1914;fizikai;Max;von Laue
1914;kémiai;Theodore William;Richards
1914;orvosi;Robert;Bárány
1913;fizikai;Heike;Kamerlingh Onnes
1913;kémiai;Alfred;Werner
1913;orvosi;Charles Robert;Richet
1913;irodalmi;Rabindranath;Tagore
1913;béke;Henri;La Fontaine
1912;fizikai;Nils Gustaf;Dalén
1912;kémiai;Victor;Grignard
1912;kémiai;Paul;Sabatier
1912;orvosi;Alexis;Carrel
1912;irodalmi;Gerhart Johann Robert;Hauptmann
1912;béke;Elihu;Root
1911;fizikai;Wilhelm;Wien
1911;kémiai;Marie;Curie, née Sklodowska
1911;orvosi;Allvar;Gullstrand
1911;irodalmi;Count Maurice (Mooris) Polidore Marie Bernhard;Maeterlinck
1911;béke;Tobias Michael Carel;Asser
1911;béke;Alfred Hermann;Fried
1910;fizikai;Johannes Diderik;van der Waals
1910;kémiai;Otto;Wallach
1910;orvosi;Albrecht;Kossel
1910;irodalmi;Paul Johann Ludwig;Heyse
1910;béke;Bureau international permanent de la Paix (Permanent International Peace Bureau);
1909;fizikai;Guglielmo;Marconi
1909;fizikai;Karl Ferdinand;Braun
1909;kémiai;Wilhelm;Ostwald
1909;orvosi;Emil Theodor;Kocher
1909;irodalmi;Selma Ottilia Lovisa;Lagerlöf
1909;béke;Auguste Marie François;Beernaert
1909;béke;Paul Henri Benjamin Balluet;d'Estournelles de Constant, Baron de Constant de Rebecque
1908;fizikai;Gabriel;Lippmann
1908;kémiai;Ernest;Rutherford
1908;orvosi;Ilya Ilyich;Mechnikov
1908;orvosi;Paul;Ehrlich
1908;irodalmi;Rudolf Christoph;Eucken
1908;béke;Klas Pontus;Arnoldson
1908;béke;Fredrik;Bajer
1907;fizikai;Albert Abraham;Michelson
1907;kémiai;Eduard;Buchner
1907;orvosi;Charles Louis Alphonse;Laveran
1907;irodalmi;Rudyard;Kipling
1907;béke;Ernesto Teodoro;Moneta
1907;béke;Louis;Renault
1906;fizikai;Joseph John;Thomson
1906;kémiai;Henri;Moissan
1906;orvosi;Camillo;Golgi
1906;orvosi;Santiago;Ramón y Cajal
1906;irodalmi;Giosuè;Carducci
1906;béke;Theodore;Roosevelt
1905;fizikai;Philipp Eduard Anton;von Lenard
1905;kémiai;Johann Friedrich Wilhelm Adolf;von Baeyer
1905;orvosi;Robert;Koch
1905;irodalmi;Henryk;Sienkiewicz
1905;béke;Baroness Bertha Sophie Felicita;von Suttner, née Countess Kinsky von Chinic und Tettau
1904;fizikai;Lord Rayleigh;(John William Strutt)
1904;kémiai;Sir William;Ramsay
1904;orvosi;Ivan Petrovich;Pavlov
1904;irodalmi;Frédéric;Mistral
1904;irodalmi;José;Echegaray y Eizaguirre
1904;béke;Institut de droit international (Institute of International Law);
1903;fizikai;Antoine Henri;Becquerel
1903;fizikai;Pierre;Curie
1903;fizikai;Marie;Curie, née Sklodowska
1903;kémiai;Svante August;Arrhenius
1903;orvosi;Niels Ryberg;Finsen
1903;irodalmi;Björnstjerne Martinus;Björnson
1903;béke;William Randal;Cremer
1902;fizikai;Hendrik Antoon;Lorentz
1902;fizikai;Pieter;Zeeman
1902;kémiai;Hermann Emil;Fischer
1902;orvosi;Ronald;Ross
1902;irodalmi;Christian Matthias Theodor;Mommsen
1902;béke;Élie;Ducommun
1902;béke;Charles Albert;Gobat
1901;fizikai;Wilhelm Conrad;Röntgen
1901;kémiai;Jacobus Henricus;van 't Hoff
1901;orvosi;Emil Adolf;von Behring
1901;irodalmi;Sully;Prudhomme
1901;béke;Jean Henry;Dunant
1901;béke;Frédéric;Passy
