hazai;idegen;hazai_pont;idegen_pont;helyszín;idõpont
Unicaja;Tau Cerámica;83;98;Pal. De Deportes Jose Ma Martin Carpena;2004-11-27
Unicaja;Tau Cerámica;95;92;Pal. De Deportes Jose Ma Martin Carpena;2005-06-07
Unicaja;Tau Cerámica;62;74;Pal. De Deportes Jose Ma Martin Carpena;2005-06-09
Unicaja;Unelco Tenerife;86;67;Pal. De Deportes Jose Ma Martin Carpena;2005-04-20
Unicaja;Winterthur F.C. Barcelona;93;65;Pal. De Deportes Jose Ma Martin Carpena;2005-02-06
Winterthur F.C. Barcelona;7up Joventut;91;89;Palau Blaugrana;2005-05-15
Winterthur F.C. Barcelona;Adecco Estudiantes;73;74;Palau Blaugrana;2005-05-19
Winterthur F.C. Barcelona;Adecco Estudiantes;89;81;Palau Blaugrana;2005-03-06
Winterthur F.C. Barcelona;Adecco Estudiantes;83;79;Palau Blaugrana;2005-05-26
Winterthur F.C. Barcelona;Breogán Lugo;96;88;Palau Blaugrana;2004-10-03
Winterthur F.C. Barcelona;C.B. Granada;76;64;Palau Blaugrana;2004-10-10
Winterthur F.C. Barcelona;Caja San Fernando;70;67;Palau Blaugrana;2005-01-30
Winterthur F.C. Barcelona;Casademont Girona;86;84;Palau Blaugrana;2004-11-14
Winterthur F.C. Barcelona;Etosa Alicante;71;73;Palau Blaugrana;2005-03-20
Winterthur F.C. Barcelona;Forum Valladolid;82;65;Palau Blaugrana;2005-02-13
Winterthur F.C. Barcelona;Gran Canaria;74;61;Palau Blaugrana;2004-12-28
Winterthur F.C. Barcelona;Lagun Aro Bilbao Basket;86;78;Palau Blaugrana;2004-11-28
Winterthur F.C. Barcelona;Pamesa Valencia;95;105;Palau Blaugrana;2005-04-10
Winterthur F.C. Barcelona;Plus Pujol Lleida;89;72;Palau Blaugrana;2004-10-31
Winterthur F.C. Barcelona;Real Madrid;64;66;Palau Blaugrana;2004-12-12
Winterthur F.C. Barcelona;Ricoh Manresa;96;57;Palau Blaugrana;2005-05-01
Winterthur F.C. Barcelona;Tau Cerámica;68;82;Palau Blaugrana;2005-04-20
Winterthur F.C. Barcelona;Unelco Tenerife;77;69;Palau Blaugrana;2005-01-16
Winterthur F.C. Barcelona;Unicaja;87;85;Palau Blaugrana;2004-10-24
